# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	57682
#@/user_id	Office-PC
a 	啊	c=62 d=0.0314298 t=57682
xiao zhen suo 	小診所	c=1 d=5.31488e-006 t=57682
xie 	些	c=22 d=0.00586126 t=57682
xie 	寫	c=65 d=0.0123843 t=57682
xie 	斜	c=1 d=5.60375e-011 t=57682
xie 	血	c=0 d=3.60633e-062 t=57682
xie 	謝	c=14 d=1.19567e-013 t=57682
xie bu xie 	寫不寫	c=2 d=3.32815e-012 t=57682
xie cheng 	寫成	c=4 d=0.873716 t=57682
xie cuo 	寫錯	c=1 d=1.41922e-060 t=57682
xie dai 	攜帶	c=0 d=1.27337e-050 t=57682
xie dai ma 	攜帶嗎	c=1 d=1.27976e-049 t=57682
xie dao 	寫到	c=4 d=1.0471e-012 t=57682
xie dei 	寫得	c=2 d=8.51681e-024 t=57682
xie diao 	卸掉	c=1 d=4.11916e-037 t=57682
xie fa 	寫法	c=2 d=8.20404e-025 t=57682
xie ge 	寫個	c=2 d=7.74207e-049 t=57682
xie guo 	寫過	c=1 d=4.00559e-061 t=57682
xie hao 	寫好	c=1 d=1 t=35542
xie le 	寫了	c=4 d=4.29996e-013 t=57682
xie lou 	泄漏	c=2 d=6.59495e-058 t=57682
xie qi lai 	寫起來	c=1 d=1 t=49495
xie ru 	寫入	c=1 d=1.46877e-052 t=57682
xie si 	寫死	c=9 d=1.1936 t=54727
xie tiao 	協調	c=3 d=1.02128 t=51100
xie wan 	寫完	c=3 d=2.41377e-014 t=57682
xie xia 	寫下	c=1 d=1.65086e-074 t=57682
xie xian 	斜線	c=1 d=1 t=35897
xie xie 	謝謝	c=8 d=3.76667e-014 t=57682
xie yi 	協議	c=6 d=5.82177e-014 t=57682
xie yi ge 	寫一個	c=1 d=1.21082e-074 t=57682
xie yi xie 	寫一些	c=1 d=0.000139842 t=57682
xie zai 	卸載	c=25 d=0.610483 t=57682
xie zhu 	協助	c=5 d=5.88823e-005 t=57682
xin 	信	c=3 d=0.00147145 t=57682
xin 	心	c=5 d=1.108e-030 t=57682
xin 	新	c=45 d=0.338936 t=57682
xin ai 	心愛	c=0 d=5.38952e-024 t=57682
xin ban ben 	新版本	c=9 d=0.6528 t=57682
xin bao 	信報	c=2 d=5.00325e-054 t=57682
xin bao 	新包	c=16 d=0.000978597 t=57682
xin de 	新的	c=13 d=0.000485661 t=57682
xin fang an 	新方案	c=3 d=1.00081 t=51539
xin hang 	新航	c=0 d=1.2849e-009 t=57682
xin ji 	新機	c=1 d=1 t=48715
xin jia 	新加	c=1 d=1 t=48717
xin jia 	新家	c=1 d=2.5365e-068 t=57682
xin jian 	新建	c=3 d=0.00138045 t=57682
xin kan 	心坎	c=1 d=1 t=50125
xin ku 	辛苦	c=11 d=0.186374 t=57682
xin lao 	新老	c=5 d=3.32958 t=41523
xin nian 	新年	c=3 d=7.48508e-072 t=57682
xin nian hao 	新年好	c=1 d=7.25091e-072 t=57682
xin qing 	心情	c=1 d=8.81211e-072 t=57682
xin qu 	新區	c=0 d=2.1345e-039 t=57682
xin ren 	信任	c=1 d=3.07593e-013 t=57682
xin xi 	信息	c=156 d=3.23793 t=57682
xin xi 	心繫	c=1 d=1 t=51338
xin xia fa 	新下發	c=1 d=1 t=46951
xin xie yi 	新協議	c=2 d=1.54881 t=45682
xin yang shi 	信陽市	c=1 d=0.557106 t=57682
xin yi si 	心已死	c=1 d=1.91249e-040 t=57682
xin yong ka 	信用卡	c=1 d=9.85719e-067 t=57682
xin zang 	心臟	c=1 d=5.99863e-018 t=57682
xin zeng 	新增	c=28 d=0.0631083 t=57682
xin zeng mu lu 	新增目錄	c=1 d=1 t=35462
xin zhi 	心智	c=1 d=5.37287e-016 t=57682
xin zi ti 	新字體	c=2 d=1.2178e-024 t=57682
xin zu 	新組	c=3 d=1.55443e-074 t=57682
xing 	型	c=2 d=1 t=56037
xing 	形	c=3 d=8.28059e-046 t=57682
xing 	性	c=3 d=1.39865e-006 t=57682
xing 	興	c=1 d=1 t=35112
xing 	行	c=9 d=4.38459e-007 t=57682
xing bie 	性別	c=2 d=7.23388e-066 t=57682
xing bu 	刑部	c=1 d=1 t=54753
xing che 	行車	c=0 d=0.1 t=55123
xing che ji lu yi 	行車記錄儀	c=1 d=1 t=55124
xing dong 	行動	c=2 d=1.2553e-008 t=57682
xing fu 	幸福	c=1 d=6.50952e-009 t=57682
xing ge 	性格	c=1 d=7.33946e-009 t=57682
xing hao 	型號	c=3 d=0.000121582 t=57682
xing ji 	興記	c=1 d=1 t=35114
xing jia bi 	性價比	c=1 d=1 t=53575
xing neng 	性能	c=15 d=1.62977e-011 t=57682
xing qi 	星期	c=2 d=1.9575e-049 t=57682
xing qu 	興趣	c=4 d=1.17571e-022 t=57682
xing ru 	形如	c=1 d=1.48975e-013 t=57682
xing wen ti 	性問題	c=1 d=1 t=43135
xing xiang 	形象	c=2 d=1 t=52981
xing zai 	行在	c=0 d=1.021e-069 t=57682
xing zhi 	性質	c=1 d=1 t=49196
xing zuo 	星座	c=3 d=2.04304e-043 t=57682
xiong 	兇	c=1 d=2.681e-014 t=57682
xiong 	熊	c=1 d=1.55472e-074 t=57682
xiong 	胸	c=1 d=2.89267e-055 t=57682
xiong da 	雄大	c=1 d=9.72099e-021 t=57682
xiong di 	兄弟	c=1 d=2.61962e-065 t=57682
xiong kou 	胸口	c=1 d=2.06889e-053 t=57682
xiu 	修	c=2 d=3.8004e-023 t=57682
xiu fu 	修復	c=112 d=3.42738 t=57682
xiu gai 	修改	c=90 d=0.205236 t=57682
xiu gai shi jian 	修改時間	c=3 d=3.13187e-018 t=57682
xiu gai wei 	修改爲	c=1 d=1 t=44044
xiu jia 	休假	c=1 d=5.08414e-072 t=57682
xiu le 	修了	c=1 d=1.8727e-028 t=57682
xiu tu 	修圖	c=1 d=1 t=35242
xiu xi 	休息	c=2 d=4.41332e-025 t=57682
xiu xiu 	羞羞	c=4 d=6.62141e-033 t=57682
xiu yi xia 	修一下	c=1 d=2.73545e-074 t=57682
xiu zheng 	修正	c=8 d=0.761768 t=57682
xu 	序	c=1 d=3.05362e-045 t=57682
xu 	續	c=2 d=9.42566e-011 t=57682
xu 	虛	c=1 d=1.603e-031 t=57682
xu 	需	c=2 d=6.66366e-049 t=57682
xu bu xu yao 	需不需要	c=1 d=3.49499e-045 t=57682
xu fen 	續分	c=1 d=1 t=49502
xu hao 	序號	c=4 d=2.60395e-008 t=57682
xu lie hao 	序列號	c=1 d=1 t=54359
xu lie hua 	序列化	c=4 d=4.8308e-074 t=57682
xu ni ji 	虛擬機	c=15 d=0.0200405 t=57682
xu qiu 	需求	c=205 d=0.603512 t=57682
xu qiu dan 	需求單	c=10 d=4.20179e-006 t=57682
xu qiu ping shen 	需求評審	c=1 d=6.18322e-051 t=57682
xu qiu yi qi 	需求一起	c=1 d=1 t=35311
xu yao 	需要	c=206 d=1.4842 t=57682
xu yao de 	需要的	c=1 d=6.9775e-061 t=57682
xu yao yong dao 	需要用到	c=1 d=1.19803e-008 t=57682
xuan 	懸	c=1 d=1 t=55685
xuan 	選	c=7 d=2.86106e-014 t=57682
xuan che 	選車	c=1 d=1.68077e-050 t=57682
xuan ci 	選詞	c=0 d=1.14899e-076 t=57682
xuan feng 	旋風	c=4 d=5.3474e-026 t=57682
xuan gao 	宣告	c=1 d=1 t=41564
xuan hao 	選好	c=1 d=1 t=35702
xuan le 	選了	c=1 d=1.7221e-071 t=57682
xuan shang 	懸賞	c=1 d=4.38804e-075 t=57682
xuan xiang 	選項	c=3 d=2.59417e-009 t=57682
xuan ze 	選擇	c=8 d=1.64586e-009 t=57682
xuan zhong 	選中	c=1 d=1.7159e-058 t=57682
xue 	學	c=1 d=1.08228 t=55154
xue hui 	學會	c=1 d=3.10347e-059 t=57682
xue qiu 	雪球	c=0 d=4.53507e-052 t=57682
xue xi 	學習	c=7 d=1.02604e-028 t=57682
xue xia 	學下	c=1 d=1 t=44247
xue xiao 	學校	c=0 d=1.18076e-044 t=57682
xue yi xia 	學一下	c=2 d=1.98511 t=55119
xun huan 	循環	c=11 d=7.50456e-006 t=57682
xun huang 	曛黃	c=2 d=4.90192e-025 t=57682
xun lian 	訓練	c=1 d=2.47994e-038 t=57682
xun su 	迅速	c=1 d=0.00067217 t=57682
xun wen 	詢問	c=1 d=1 t=53372
xun zhang 	勳章	c=2 d=1.92312 t=50952
xun zhao 	尋找	c=2 d=6.5091e-067 t=57682
ya 	呀	c=7 d=0.0308074 t=57682
ya gen 	壓根	c=1 d=1 t=55766
ya li 	壓力	c=6 d=5.94925e-009 t=57682
ya ma sun 	亞馬遜	c=1 d=3.82075e-064 t=57682
ya se 	亞瑟	c=1 d=1 t=40505
ya suo 	壓縮	c=14 d=0.00399761 t=57682
yan 	啱	c=1 d=6.27113e-070 t=57682
yan 	延	c=2 d=1.99005 t=54532
yan 	沿	c=1 d=1 t=35024
yan 	演	c=1 d=3.68369e-046 t=57682
yan chi 	延遲	c=7 d=0.000162473 t=57682
yan dao 	言道	c=1 d=1 t=39454
yan fa 	研發	c=1 d=1.07836e-064 t=57682
yan gai 	掩蓋	c=1 d=0.211189 t=57682
yan ge 	嚴格	c=1 d=1 t=51465
yan jing 	眼睛	c=2 d=7.13856e-006 t=57682
yan jing 	眼鏡	c=1 d=1.15423e-011 t=57682
yan jiu 	研究	c=10 d=0.591555 t=57682
yan jiu sheng 	研究生	c=1 d=1.23763e-067 t=57682
yan jiu xia 	研究下	c=1 d=7.05122e-067 t=57682
yan le 	嚥了	c=1 d=1 t=50494
yan qi 	延期	c=15 d=0.00215492 t=57682
yan se 	顏色	c=9 d=1.01136e-037 t=57682
yan shen 	延伸	c=1 d=4.15321e-075 t=57682
yan yong 	沿用	c=1 d=1 t=44608
yan zheng 	驗證	c=65 d=0.007203 t=57682
yan zheng bao 	驗證包	c=1 d=1 t=40898
yan zheng xia 	驗證下	c=3 d=3.22858e-024 t=57682
yan zheng yi xia 	驗證一下	c=2 d=4.99058e-030 t=57682
yan zheng zhong 	驗證中	c=1 d=4.14968e-065 t=57682
yan zhong 	嚴重	c=3 d=1.51149e-007 t=57682
yang 	樣	c=7 d=0.0837432 t=57682
yang ben 	樣本	c=3 d=9.49928e-054 t=57682
yang le 	養了	c=1 d=4.16042e-066 t=57682
yang sheng 	養生	c=2 d=0.458406 t=57682
yang shi 	央視	c=1 d=3.24069e-068 t=57682
yang shi 	樣式	c=20 d=0.588605 t=57682
yang zi 	樣子	c=1 d=2.56251e-041 t=57682
yao 	藥	c=1 d=1 t=35153
yao 	要	c=404 d=0.461568 t=57682
yao bei 	要被	c=1 d=4.02293e-053 t=57682
yao bu 	要不	c=13 d=0.23457 t=57682
yao bu yao 	要不要	c=6 d=4.52045e-019 t=57682
yao ce shi 	要測試	c=1 d=2.31629e-029 t=57682
yao hao 	搖號	c=1 d=1 t=38184
yao he 	要和	c=1 d=2.61509e-074 t=57682
yao hu 	藥壺	c=1 d=4.16764e-057 t=57682
yao kan 	要看	c=2 d=2.9845e-040 t=57682
yao me 	要麼	c=3 d=1.52938e-020 t=57682
yao pei 	要賠	c=1 d=3.44343e-076 t=57682
yao qing 	邀請	c=1 d=1 t=41579
yao qiu 	要求	c=11 d=6.84656e-013 t=57682
yao qu 	要去	c=1 d=1 t=50174
yao shi 	要是	c=3 d=1.64783e-023 t=57682
yao shi kong 	鑰匙孔	c=1 d=2.08612e-033 t=57682
yao tou 	搖頭	c=1 d=1 t=41329
yao wo 	要我	c=1 d=1.1887e-063 t=57682
yao xi ai 	要喜愛	c=1 d=7.84305e-025 t=57682
yao yao yao 	要要要	c=1 d=6.18954e-063 t=57682
yao yong 	要用	c=1 d=1 t=38663
yao you 	要有	c=1 d=1 t=54790
yao zhu yi 	要注意	c=1 d=3.54407e-062 t=57682
ye 	也	c=186 d=0.447713 t=57682
ye 	耶	c=6 d=3.17564e-006 t=57682
ye 	野	c=8 d=0.501576 t=57682
ye 	頁	c=30 d=0.00794669 t=57682
ye bu 	也不	c=1 d=1 t=49521
ye bu hui 	也不會	c=3 d=1.17451e-010 t=57682
ye bu shi 	也不是	c=1 d=1.85533e-036 t=57682
ye bu wan quan 	也不完全	c=1 d=1 t=56591
ye bu xing 	也不行	c=1 d=9.09837e-007 t=57682
ye bu zhi dao 	也不知道	c=1 d=1.0868e-038 t=57682
ye gou 	也夠	c=1 d=1.32904e-023 t=57682
ye hao 	也好	c=2 d=1.44547e-011 t=57682
ye hao gao 	也好搞	c=1 d=1 t=37248
ye hui 	也會	c=14 d=1.08104e-005 t=57682
ye hui you 	也會有	c=1 d=5.60166e-036 t=57682
ye jiu 	也就	c=4 d=1.32129e-013 t=57682
ye jiu shi 	也就是	c=15 d=6.19416e-013 t=57682
ye ke neng 	也可能	c=1 d=1 t=37299
ye ke yi 	也可以	c=5 d=2.26695e-011 t=57682
ye ma 	野馬	c=1 d=3.06143e-075 t=57682
ye mei yong 	也沒用	c=1 d=4.71437e-066 t=57682
ye mei you 	也沒有	c=1 d=1 t=36596
ye mian 	頁面	c=52 d=0.0050586 t=57682
ye ming 	夜明	c=1 d=4.47683e-046 t=57682
ye mo xia 	夜魔俠	c=2 d=1 t=53489
ye neng 	也能	c=6 d=2.10752e-006 t=57682
ye shi 	也是	c=36 d=0.0513033 t=57682
ye suan 	也算	c=0 d=1.93368e-053 t=57682
ye suan shi 	也算是	c=1 d=1.94337e-052 t=57682
ye wen 	葉問	c=3 d=4.60112e-030 t=57682
ye wu 	業務	c=36 d=0.155673 t=57682
ye wu ceng 	業務層	c=4 d=0.145148 t=57682
ye wu luo ji 	業務邏輯	c=1 d=4.27328e-028 t=57682
ye xing 	也行	c=4 d=1.06346e-018 t=57682
ye xu yao 	也需要	c=3 d=5.52502e-021 t=57682
ye yao 	也要	c=7 d=2.31755e-006 t=57682
ye ying gai 	也應該	c=1 d=1.98067e-011 t=57682
ye yong 	也用	c=2 d=2.33878e-025 t=57682
ye you 	也有	c=17 d=1.0878e-011 t=57682
ye you yi fen 	也有一份	c=1 d=1.12264e-008 t=57682
ye zai 	也在	c=1 d=3.77093e-050 t=57682
ye zhu 	業主	c=4 d=7.4707e-041 t=57682
ye zuo wei 	也作爲	c=1 d=1 t=39800
yi 	①	c=51 d=0.0372538 t=57682
yi 	一	c=24 d=0.759572 t=57682
yi 	以	c=18 d=0.0016347 t=57682
yi 	億	c=2 d=1.25666e-063 t=57682
yi 	咦	c=4 d=6.71462e-021 t=57682
yi 	已	c=41 d=0.814378 t=57682
yi 	易	c=0 d=5.42098e-063 t=57682
yi 	醫	c=2 d=1 t=42498
yi bai 	一百	c=1 d=0.00012341 t=57682
yi bai ge 	一百個	c=1 d=2.65975e-038 t=57682
yi ban 	一半	c=1 d=1 t=54123
yi ban 	一般	c=50 d=0.0110907 t=57682
yi ban ban 	咦斑斑	c=1 d=2.83394e-049 t=57682
yi ban ma 	一般嗎	c=1 d=4.73655e-033 t=57682
yi ban shi 	易辦事	c=1 d=5.44815e-062 t=57682
yi bei zi 	一輩子	c=1 d=4.60111e-074 t=57682
yi ben 	一本	c=0 d=1.9613e-014 t=57682
yi bian 	一遍	c=2 d=2.78274e-011 t=57682
yi bian 	一邊	c=1 d=7.49921e-027 t=57682
yi biao 	一表	c=0 d=0.1 t=38594
yi biao qing 	一表情	c=1 d=1 t=38595
yi bo 	一波	c=2 d=2.98301e-035 t=57682
yi bu 	一步	c=1 d=0.767206 t=57682
yi bu 	異步	c=9 d=8.44239e-009 t=57682
yi bu dao wei 	一步到位	c=1 d=1 t=45974
yi bu fen 	一部分	c=9 d=2.10766e-006 t=57682
yi cen 	①岑	c=1 d=1 t=35729
yi ceng 	一層	c=4 d=2.76792e-007 t=57682
yi ceng ceng 	一層層	c=1 d=5.10268e-056 t=57682
yi cha 	一查	c=0 d=3.8162e-051 t=57682
yi chang 	異常	c=14 d=6.53578e-034 t=57682
yi chuan 	一串	c=2 d=4.81386e-047 t=57682
yi chuan 	遺傳	c=1 d=7.44483e-059 t=57682
yi ci 	一次	c=33 d=0.0529133 t=57682
yi cun 	一寸	c=1 d=4.97923e-062 t=57682
yi da bu 	一大步	c=2 d=1.98511 t=53341
yi da dui 	一大堆	c=1 d=5.82928e-034 t=57682
yi da zao 	一大早	c=1 d=1 t=37729
yi dao 	已到	c=1 d=2.00563e-070 t=57682
yi dao 	移到	c=2 d=1.68729 t=46574
yi dian 	一點	c=16 d=0.0670231 t=57682
yi dian dian 	一點點	c=2 d=2.52961e-036 t=57682
yi ding 	一定	c=15 d=3.97693e-006 t=57682
yi dong 	移動	c=2 d=9.9178e-008 t=57682
yi duan 	一段	c=3 d=6.03917e-009 t=57682
yi fang 	以防	c=1 d=7.93022e-008 t=57682
yi fang mian 	一方面	c=3 d=2.88186e-011 t=57682
yi fen 	一份	c=10 d=0.151072 t=57682
yi feng 	一封	c=1 d=7.6004e-067 t=57682
yi gai er lun 	一概而論	c=1 d=1.79524e-031 t=57682
yi ge 	一個	c=228 d=1.02399 t=57682
yi ge shi 	一個是	c=1 d=1 t=47600
yi ge shu zi 	一個數字	c=1 d=4.69166e-068 t=57682
yi ge zi 	一個字	c=3 d=1.23024e-026 t=57682
yi gong 	一共	c=7 d=0.000973123 t=57682
yi gong you 	一共有	c=2 d=0.00421123 t=57682
yi guan ji 	已關機	c=1 d=6.2692e-037 t=57682
yi han 	遺憾	c=1 d=1.04092e-060 t=57682
yi hang 	一行	c=5 d=3.56338e-005 t=57682
yi hang li 	一行裏	c=1 d=0.000357992 t=57682
yi hao 	一號	c=1 d=1.82076e-050 t=57682
yi hou 	以後	c=21 d=0.0968105 t=57682
yi hui 	一會	c=24 d=0.000853364 t=57682
yi hui you 	一會有	c=1 d=1 t=55663
yi ji 	一級	c=1 d=1 t=35413
yi ji 	以及	c=38 d=0.0254765 t=57682
yi jia 	宜家	c=7 d=1.92109e-034 t=57682
yi jian 	一件	c=1 d=6.17308e-076 t=57682
yi jian 	一鍵	c=6 d=1.56174 t=57682
yi jian 	意見	c=5 d=1.56957 t=57682
yi jian yi jian 	一件一件	c=1 d=6.83097e-076 t=57682
yi jie 	一截	c=1 d=2.41534e-051 t=57682
yi jin 	一斤	c=2 d=1 t=48062
yi jin lai 	一進來	c=1 d=1 t=49923
yi jing 	已經	c=90 d=1.6054 t=57682
yi jing chu shi hua 	已經初始化	c=1 d=1 t=54377
yi jing you 	已經有	c=1 d=1 t=41363
yi jiu 	依舊	c=0 d=0.1 t=56842
yi jiu ge 	依舊個	c=1 d=1 t=56843
yi ju 	一句	c=2 d=0.000541592 t=57682
yi kai 	移開	c=1 d=2.36341e-060 t=57682
yi kai shi 	一開始	c=3 d=3.03642e-008 t=57682
yi kou qi 	一口氣	c=2 d=1.9802 t=52595
yi kuai 	一塊	c=4 d=3.57862e-029 t=57682
yi kuai wu 	一塊五	c=1 d=1 t=41122
yi lai 	以來	c=1 d=4.54279e-071 t=57682
yi lai 	依賴	c=27 d=0.0776263 t=57682
yi lian 	一臉	c=2 d=2.35939e-040 t=57682
yi liu 	一流	c=1 d=1.19246e-012 t=57682
yi liu 	遺留	c=1 d=1.70919e-012 t=57682
yi lou 	一樓	c=1 d=3.27838e-057 t=57682
yi lou 	遺漏	c=9 d=1.39528e-007 t=57682
yi lu 	一路	c=3 d=8.07065e-038 t=57682
yi lun 	一輪	c=2 d=3.73161e-051 t=57682
yi man 	已滿	c=1 d=1 t=56684
yi mian 	一面	c=1 d=1.26221e-063 t=57682
yi miao 	一秒	c=2 d=3.34656e-037 t=57682
yi ming 	一名	c=2 d=2.01054e-040 t=57682
yi mo yi yang 	一模一樣	c=1 d=5.74719e-073 t=57682
yi nei 	以內	c=1 d=8.50785e-041 t=57682
yi nian 	一年	c=6 d=4.28206e-040 t=57682
yi nian nei 	一年內	c=0 d=7.64135e-043 t=57682
yi pi 	一匹	c=1 d=3.0139e-039 t=57682
yi pi 	一批	c=4 d=1.15463 t=54728
yi pi gu 	一屁股	c=1 d=1.90781e-070 t=57682
yi pi pi 	一批批	c=1 d=5.74524e-069 t=57682
yi pian 	一片	c=1 d=1 t=48921
yi pian 	一篇	c=6 d=1.56129e-006 t=57682
yi qi 	一起	c=33 d=0.147405 t=57682
yi qi dong 	已啓動	c=1 d=6.00802e-007 t=57682
yi qian 	以前	c=21 d=5.29167e-006 t=57682
yi qie 	一切	c=1 d=1 t=55810
yi quan 	一拳	c=1 d=2.75402e-036 t=57682
yi ran 	依然	c=4 d=1.22298e-012 t=57682
yi ren 	一人	c=1 d=0.000536738 t=57682
yi shang 	以上	c=1 d=3.1597e-035 t=57682
yi shen 	一身	c=2 d=1.26265e-067 t=57682
yi sheng 	一聲	c=2 d=1.32792 t=45241
yi shi 	意識	c=1 d=2.21475e-031 t=57682
yi shou 	一首	c=3 d=2.03919e-030 t=57682
yi shou dao 	已收到	c=1 d=1 t=51823
yi shou ge 	一首歌	c=4 d=1.05052e-022 t=57682
yi shou ge qu 	一首歌去	c=1 d=1.05579e-021 t=57682
yi si 	已死	c=0 d=1.90295e-041 t=57682
yi si 	意思	c=47 d=0.00700203 t=57682
yi si 	疑似	c=6 d=1.13562e-055 t=57682
yi si shi 	意思是	c=1 d=1 t=54897
yi tai 	一臺	c=13 d=1.14487e-007 t=57682
yi tan 	一探	c=1 d=1 t=51194
yi tang 	一趟	c=1 d=1 t=51155
yi tao 	一套	c=10 d=0.0101925 t=57682
yi ti 	已提	c=2 d=1.00001 t=41526
yi ti ce 	以提測	c=1 d=1 t=56566
yi ti jiao 	已提交	c=1 d=1.1051e-058 t=57682
yi tian 	一天	c=9 d=0.303011 t=57682
yi tiao 	一條	c=5 d=0.0344378 t=57682
yi tiao tiao 	一條條	c=1 d=1 t=51839
yi wai 	意外	c=1 d=1 t=45848
yi wan 	一碗	c=1 d=1.50938e-020 t=57682
yi wan 	一萬	c=1 d=6.19185e-038 t=57682
yi wan 	億萬	c=3 d=3.20351e-068 t=57682
yi wan yuan 	一萬元	c=1 d=1.78374e-073 t=57682
yi wei 	一位	c=1 d=1 t=41234
yi wei 	以爲	c=6 d=7.1274e-017 t=57682
yi wen 	疑問	c=5 d=1.38446e-033 t=57682
yi xia 	一下	c=241 d=1.23272 t=57682
yi xia 	以下	c=4 d=3.26126e-020 t=57682
yi xian ai 	胰腺癌	c=4 d=9.83405e-010 t=57682
yi xiang 	一想	c=0 d=0.1 t=37422
yi xiang 	一項	c=1 d=8.86137e-020 t=57682
yi xiang dao 	一想到	c=1 d=1 t=37423
yi xie 	一些	c=44 d=1.32617 t=57682
yi xie lie 	一些列	c=1 d=2.48155e-075 t=57682
yi xie xie 	一些些	c=1 d=1.06731e-031 t=57682
yi xin hang 	以新航	c=1 d=1.29134e-008 t=57682
yi xing qi 	一星期	c=1 d=3.1078e-046 t=57682
yi xiu fu 	已修復	c=5 d=0.755784 t=57682
yi yan 	一眼	c=4 d=0.0833256 t=57682
yi yan zheng 	已驗證	c=1 d=2.74122e-040 t=57682
yi yang 	一樣	c=22 d=0.212792 t=57682
yi yi 	一一	c=1 d=9.39592e-062 t=57682
yi yi 	意義	c=4 d=0.0428521 t=57682
yi you 	已有	c=5 d=2.91924e-021 t=57682
yi yuan 	一元	c=1 d=2.00113e-073 t=57682
yi yuan 	意願	c=3 d=1.81183 t=41510
yi yuan 	醫院	c=1 d=1 t=46065
yi zao shang 	①早上	c=2 d=1.4291e-024 t=57682
yi zhang 	一張	c=11 d=0.567337 t=57682
yi zhen 	一陣	c=1 d=1 t=46017
yi zheng tian 	一整天	c=1 d=6.95142e-017 t=57682
yi zheng yan ci 	義正嚴詞	c=1 d=1 t=51771
yi zhi 	一直	c=29 d=0.00652142 t=57682
yi zhi 	一致	c=9 d=0.210136 t=57682
yi zhi 	已知	c=8 d=1.60368e-015 t=57682
yi zhong 	一種	c=8 d=1.47824e-010 t=57682
yi zhou 	一週	c=2 d=5.66029e-063 t=57682
yi zi 	椅子	c=1 d=1.70676e-054 t=57682
yi zu 	一組	c=1 d=4.47545e-013 t=57682
yin 	因	c=3 d=6.09551e-030 t=57682
yin cang 	隱藏	c=13 d=1.95984e-010 t=57682
yin dao 	引導	c=4 d=7.13429e-013 t=57682
yin gai 	因改	c=2 d=2.34682e-036 t=57682
yin hang 	銀行	c=6 d=7.19913e-063 t=57682
yin hang ka 	銀行卡	c=1 d=6.26686e-062 t=57682
yin hao 	引號	c=1 d=1 t=35994
yin hun 	陰魂	c=1 d=5.36173e-021 t=57682
yin pin 	音頻	c=23 d=7.65655e-013 t=57682
yin ping 	銀屏	c=1 d=1 t=43349
yin qi 	因其	c=2 d=0.168638 t=57682
yin qi 	引起	c=1 d=1 t=57327
yin qing 	引擎	c=9 d=0.167797 t=57682
yin ru 	引入	c=10 d=5.13671e-008 t=57682
yin shi 	飲食	c=1 d=1 t=42194
yin su 	因素	c=1 d=2.68703e-011 t=57682
yin wei 	因爲	c=141 d=0.661288 t=57682
yin wei en 	因爲嗯	c=1 d=4.63235e-036 t=57682
yin wei shi 	因爲是	c=1 d=1 t=42195
yin xiang 	印象	c=16 d=1.08854e-014 t=57682
yin xing 	隱形	c=1 d=1.14209e-063 t=57682
yin ying 	陰影	c=1 d=1 t=44158
yin yong 	引用	c=3 d=9.28533e-011 t=57682
yin yu 	陰雨	c=0 d=2.38521e-022 t=57682
yin yu ru 	陰雨如	c=1 d=2.39717e-021 t=57682
yin yue 	音樂	c=218 d=0.421211 t=57682
yin yue ba 	音樂吧	c=1 d=1 t=43648
yin yue guan 	音樂管	c=3 d=4.00858e-011 t=57682
yin yue guan 	音樂館	c=1 d=1 t=56621
yin yue guan li 	音樂管理	c=1 d=2.69582e-020 t=57682
yin zhi 	音質	c=2 d=1.70117 t=52843
ying 	應	c=2 d=2.16154e-039 t=57682
ying 	硬	c=1 d=1.76029e-035 t=57682
ying chou 	應酬	c=1 d=1.02825e-063 t=57682
ying da yu long yuan 	英達鈺龍園	c=3 d=2.97516 t=35296
ying gai 	應該	c=132 d=0.969138 t=57682
ying gai shi 	應該是	c=2 d=1.14038e-016 t=57682
ying gai shuo 	應該說	c=1 d=2.7635e-047 t=57682
ying gai ye zai 	應該也在	c=1 d=3.63886e-049 t=57682
ying gai yi jing 	應該已經	c=1 d=3.30334e-058 t=57682
ying jian 	硬件	c=9 d=5.25467e-019 t=57682
ying jie 	硬接	c=1 d=1.43031e-034 t=57682
ying le 	贏了	c=2 d=4.24546e-010 t=57682
ying pan 	硬盤	c=1 d=4.03884e-070 t=57682
ying shai 	贏曬	c=1 d=6.33416e-070 t=57682
ying she 	映射	c=1 d=1.26045e-076 t=57682
ying wei 	應爲	c=1 d=1 t=39823
ying wen 	英文	c=2 d=2.54843e-035 t=57682
ying xi 	影戲	c=0 d=7.38002e-016 t=57682
ying xi na ge 	影戲那個	c=1 d=7.41701e-015 t=57682
ying xiang 	影響	c=21 d=0.644036 t=57682
ying xiang wo men 	影響我們	c=1 d=9.42345e-067 t=57682
ying yan 	鷹眼	c=1 d=9.40552e-074 t=57682
ying yong 	應用	c=35 d=0.198016 t=57682
ying yong bao 	應用包	c=5 d=0.0441572 t=57682
ying yong bao 	應用寶	c=4 d=2.75484 t=36268
ying yong jia 	應用加	c=1 d=2.51605e-061 t=57682
ying yong nei 	應用內	c=1 d=0.0471227 t=57682
ying yong shi chang 	應用市場	c=1 d=0.0492917 t=57682
ying zi 	影子	c=1 d=5.66007e-011 t=57682
yo 	喲	c=0 d=4.84376e-062 t=57682
yong 	用	c=231 d=2.94251 t=57682
yong bao 	擁抱	c=4 d=3.95536 t=42359
yong bi ren 	用逼人	c=1 d=2.90934e-005 t=57682
yong bu liao 	用不了	c=2 d=5.01987e-040 t=57682
